index,promptcategory,place,suggestion,imperative,prompttemplate,prompt,difficulty,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2
10,maps,america,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1800,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of america in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
11,maps,america,1883,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1883,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of america in 1883'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1883)? Just reply with 'yes' or 'no'.
12,maps,america,1860,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1860,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of america in 1860'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1860)? Just reply with 'yes' or 'no'.
13,maps,america,1864,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1864,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of america in 1864'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1864)? Just reply with 'yes' or 'no'.
14,maps,usa,1820,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1820,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1820'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1820)? Just reply with 'yes' or 'no'.
15,maps,usa,1861,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1861,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1861'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1861)? Just reply with 'yes' or 'no'.
16,maps,usa,1899,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1899,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1899'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1899)? Just reply with 'yes' or 'no'.
17,maps,usa,1880,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1880,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1880'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1880)? Just reply with 'yes' or 'no'.
18,maps,usa,1860,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1860,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1860'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1860)? Just reply with 'yes' or 'no'.
19,maps,usa,1883,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1883,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1883'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1883)? Just reply with 'yes' or 'no'.
20,maps,usa,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1800,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
21,maps,usa,1850,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1850,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1850'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1850)? Just reply with 'yes' or 'no'.
22,maps,usa,1776,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1776,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1776'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1776)? Just reply with 'yes' or 'no'.
23,maps,usa,1900,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the usa in 1900,1,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the usa in 1900'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1900)? Just reply with 'yes' or 'no'.
24,maps,south america,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of south america in 1800,1,Is the following subject present in the image: 'Map of south america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of south america in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
25,maps,south america,1914,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of south america in 1914,1,Is the following subject present in the image: 'Map of south america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of south america in 1914'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1914)? Just reply with 'yes' or 'no'.
26,maps,south america,1900,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of south america in 1900,1,Is the following subject present in the image: 'Map of south america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of south america in 1900'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1900)? Just reply with 'yes' or 'no'.
27,maps,south america,1850,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of south america in 1850,1,Is the following subject present in the image: 'Map of south america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of south america in 1850'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1850)? Just reply with 'yes' or 'no'.
28,maps,north america,1754,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1754,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1754'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1754)? Just reply with 'yes' or 'no'.
29,maps,north america,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1800,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
30,maps,north america,1763,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1763,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1763'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1763)? Just reply with 'yes' or 'no'.
31,maps,north america,1776,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1776,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1776'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1776)? Just reply with 'yes' or 'no'.
32,maps,north america,1700,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1700,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1700'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1700)? Just reply with 'yes' or 'no'.
33,maps,north america,1750,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1750,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1750'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1750)? Just reply with 'yes' or 'no'.
34,maps,north america,1600,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1600,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1600'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1600)? Just reply with 'yes' or 'no'.
35,maps,north america,1500,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1500,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1500'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1500)? Just reply with 'yes' or 'no'.
36,maps,north america,1840,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north america in 1840,1,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america in 1840'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1840)? Just reply with 'yes' or 'no'.
37,maps,africa,1914,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of africa in 1914,1,Is the following subject present in the image: 'Map of africa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of africa in 1914'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1914)? Just reply with 'yes' or 'no'.
38,maps,africa,1913,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of africa in 1913,1,Is the following subject present in the image: 'Map of africa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of africa in 1913'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1913)? Just reply with 'yes' or 'no'.
39,maps,asia,1914,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of asia in 1914,1,Is the following subject present in the image: 'Map of asia'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of asia in 1914'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1914)? Just reply with 'yes' or 'no'.
40,maps,asia,1900,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of asia in 1900,1,Is the following subject present in the image: 'Map of asia'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of asia in 1900'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1900)? Just reply with 'yes' or 'no'.
41,maps,asia,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of asia in 1800,1,Is the following subject present in the image: 'Map of asia'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of asia in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
42,maps,asia,1940,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of asia in 1940,1,Is the following subject present in the image: 'Map of asia'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of asia in 1940'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1940)? Just reply with 'yes' or 'no'.
43,maps,middle east,1900,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1900,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1900'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1900)? Just reply with 'yes' or 'no'.
44,maps,middle east,1940,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1940,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1940'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1940)? Just reply with 'yes' or 'no'.
45,maps,middle east,1930,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1930,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1930'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1930)? Just reply with 'yes' or 'no'.
46,maps,middle east,1945,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1945,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1945'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1945)? Just reply with 'yes' or 'no'.
47,maps,middle east,1920,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1920,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1920'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1920)? Just reply with 'yes' or 'no'.
48,maps,middle east,20 BCE,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 20 BCE,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 20 BCE'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of  BCE)? Just reply with 'yes' or 'no'.
49,maps,middle east,1947,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1947,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1947'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1947)? Just reply with 'yes' or 'no'.
50,maps,middle east,1914,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1914,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1914'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1914)? Just reply with 'yes' or 'no'.
51,maps,middle east,1948,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1948,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1948'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1948)? Just reply with 'yes' or 'no'.
52,maps,middle east,1946,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of the middle east in 1946,1,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of the middle east in 1946'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1946)? Just reply with 'yes' or 'no'.
53,maps,north africa,1914,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north africa in 1914,1,Is the following subject present in the image: 'Map of north africa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north africa in 1914'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1914)? Just reply with 'yes' or 'no'.
54,maps,north africa,1942,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of north africa in 1942,1,Is the following subject present in the image: 'Map of north africa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north africa in 1942'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1942)? Just reply with 'yes' or 'no'.
55,maps,south africa,1900,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of south africa in 1900,1,Is the following subject present in the image: 'Map of south africa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of south africa in 1900'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1900)? Just reply with 'yes' or 'no'.
56,maps,europe,1914,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1914,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1914'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1914)? Just reply with 'yes' or 'no'.
57,maps,europe,1939,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1939,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1939'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1939)? Just reply with 'yes' or 'no'.
58,maps,europe,1940,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1940,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1940'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1940)? Just reply with 'yes' or 'no'.
59,maps,europe,1200,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1200,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1200'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1200)? Just reply with 'yes' or 'no'.
60,maps,europe,1918,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1918,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1918'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1918)? Just reply with 'yes' or 'no'.
61,maps,europe,1500,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1500,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1500'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1500)? Just reply with 'yes' or 'no'.
62,maps,europe,1938,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1938,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1938'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1938)? Just reply with 'yes' or 'no'.
63,maps,europe,1800,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of europe in 1800,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of europe in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
64,maps,america,1776,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of america in 1776,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of america in 1776'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1776)? Just reply with 'yes' or 'no'.
65,maps,america,1754,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of america in 1754,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of america in 1754'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1754)? Just reply with 'yes' or 'no'.
66,maps,america,1800,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of america in 1800,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of america in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
67,maps,america,1883,Give me,(imperative) a realistic map of (place) in (suggestion),Give me a realistic map of america in 1883,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of america in 1883'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1883)? Just reply with 'yes' or 'no'.
