index,subject,DemolitionDate,goldenrecordImages,promptcategory,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,prompt,Imperative,PromptTemplate,difficulty,currentState,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2
10,26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: '26 Commissars Memorial'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
11,26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: '26 Commissars Memorial'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
12,26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: '26 Commissars Memorial'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/17/1976'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
13,26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,before,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: '26 Commissars Memorial'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan before 01/01/2009'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
14,26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,random after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: '26 Commissars Memorial'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan on 11/12/2014'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
15,26 Commissars Memorial,01/01/2009,http://commons.wikimedia.org/wiki/Special:FilePath/26%20Baku%20Commissars%20Memorial%2C%201987.jpg,after,Point(49.845755 40.373136),Azerbaijan,11/17/1976,11/12/2014,Point(49.845755 40.373136),49.845755,40.373136,,0,01/01/1968,5,Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009,Produce,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: '26 Commissars Memorial'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of the 26 Commissars Memorial in Azerbaijan after 01/01/2009'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
16,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
17,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
18,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
19,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936,Create,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
20,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
21,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
22,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomAfter},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 8/21/1936'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
23,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,after,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936,Give me,{imperative} a photorealistic image of the {name} in {BuildingCountry} after {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan after 01/01/1936'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
24,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,random before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} on {randomBefore},2,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan on 11/30/1929'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
25,Alexander Nevsky Cathedral,01/01/1936,http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Nevsky%20Cathedral%2C%20Baku.jpg,before,Point(49.883333333 40.416666666),Azerbaijan,11/30/1929,8/21/1936,Point(49.883333333 40.416666666),49.88333333,40.41666667,https://commons.wikimedia.org/wiki/Category:Alexander%20Nevsky%20Cathedral%2C%20Baku,0,01/01/1898,17,Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936,Generate,{imperative} a photorealistic image of the {name} in {BuildingCountry} before {demolitionDate},1,demolished,"ruined,dilapidated,shattered,decayed,wrecked,ravaged,devastated,demolished,destroyed,torn off,rubble,debris,ruins,wreckage,fragments,remains,state of ruin",Is the following subject present in the image: 'Alexander Nevsky Cathedral'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of the Alexander Nevsky Cathedral in Azerbaijan before 01/01/1936'? Is the correct temporal knowledge applied (i.e. the building at the specific date)? Just reply with 'yes' or 'no'.
